graph,order,size,bytes,source_offsets,destination_indices,block_bits,index_bits,effective_bits,technique
"min-1DeadEnd","5","6","48","6","6","0","0","0","csrRegular32"
"min-1DeadEnd","5","6","96","6","6","0","0","0","csrRegular64"
"min-1DeadEnd","5","6","44","6","5","4","28","30","csrHybrid32-4block"
"min-1DeadEnd","5","6","40","6","4","8","24","27","csrHybrid32-8block"
"min-1DeadEnd","5","6","40","6","4","16","16","20","csrHybrid32-16block"
"min-1DeadEnd","5","6","64","6","5","4","60","62","csrHybrid64-4block"
"min-1DeadEnd","5","6","56","6","4","8","56","59","csrHybrid64-8block"
"min-1DeadEnd","5","6","56","6","4","16","48","52","csrHybrid64-16block"
"min-1DeadEnd","5","6","56","6","4","32","32","37","csrHybrid64-32block"
"min-2SCC","8","12","84","9","12","0","0","0","csrRegular32"
"min-2SCC","8","12","168","9","12","0","0","0","csrRegular64"
"min-2SCC","8","12","76","9","10","4","28","30","csrHybrid32-4block"
"min-2SCC","8","12","68","9","8","8","24","27","csrHybrid32-8block"
"min-2SCC","8","12","68","9","8","16","16","20","csrHybrid32-16block"
"min-2SCC","8","12","116","9","10","4","60","62","csrHybrid64-4block"
"min-2SCC","8","12","100","9","8","8","56","59","csrHybrid64-8block"
"min-2SCC","8","12","100","9","8","16","48","52","csrHybrid64-16block"
"min-2SCC","8","12","100","9","8","32","32","37","csrHybrid64-32block"
"min-4SCC","21","35","228","22","35","0","0","0","csrRegular32"
"min-4SCC","21","35","456","22","35","0","0","0","csrRegular64"
"min-4SCC","21","35","212","22","31","4","28","30","csrHybrid32-4block"
"min-4SCC","21","35","204","22","29","8","24","27","csrHybrid32-8block"
"min-4SCC","21","35","188","22","25","16","16","20","csrHybrid32-16block"
"min-4SCC","21","35","336","22","31","4","60","62","csrHybrid64-4block"
"min-4SCC","21","35","320","22","29","8","56","59","csrHybrid64-8block"
"min-4SCC","21","35","288","22","25","16","48","52","csrHybrid64-16block"
"min-4SCC","21","35","256","22","21","32","32","37","csrHybrid64-32block"
"min-NvgraphEx","6","10","68","7","10","0","0","0","csrRegular32"
"min-NvgraphEx","6","10","136","7","10","0","0","0","csrRegular64"
"min-NvgraphEx","6","10","56","7","7","4","28","30","csrHybrid32-4block"
"min-NvgraphEx","6","10","48","7","5","8","24","27","csrHybrid32-8block"
"min-NvgraphEx","6","10","48","7","5","16","16","20","csrHybrid32-16block"
"min-NvgraphEx","6","10","84","7","7","4","60","62","csrHybrid64-4block"
"min-NvgraphEx","6","10","68","7","5","8","56","59","csrHybrid64-8block"
"min-NvgraphEx","6","10","68","7","5","16","48","52","csrHybrid64-16block"
"min-NvgraphEx","6","10","68","7","5","32","32","37","csrHybrid64-32block"
"web-Stanford","281903","2312497","10377604","281904","2312497","0","0","0","csrRegular32"
"web-Stanford","281903","2312497","20755208","281904","2312497","0","0","0","csrRegular64"
"web-Stanford","281903","2312497","10377080","281904","2312366","4","28","30","csrHybrid32-4block"
"web-Stanford","281903","2312497","10376488","281904","2312218","8","24","27","csrHybrid32-8block"
"web-Stanford","281903","2312497","10374184","281904","2311642","16","16","20","csrHybrid32-16block"
"web-Stanford","281903","2312497","19626544","281904","2312366","4","60","62","csrHybrid64-4block"
"web-Stanford","281903","2312497","19625360","281904","2312218","8","56","59","csrHybrid64-8block"
"web-Stanford","281903","2312497","19620752","281904","2311642","16","48","52","csrHybrid64-16block"
"web-Stanford","281903","2312497","19604088","281904","2309559","32","32","37","csrHybrid64-32block"
"web-BerkStan","685230","7600595","33143304","685231","7600595","0","0","0","csrRegular32"
"web-BerkStan","685230","7600595","66286608","685231","7600595","0","0","0","csrRegular64"
"web-BerkStan","685230","7600595","25232472","685231","5622887","4","28","30","csrHybrid32-4block"
"web-BerkStan","685230","7600595","22314888","685231","4893491","8","24","27","csrHybrid32-8block"
"web-BerkStan","685230","7600595","20164508","685231","4355896","16","16","20","csrHybrid32-16block"
"web-BerkStan","685230","7600595","47724020","685231","5622887","4","60","62","csrHybrid64-4block"
"web-BerkStan","685230","7600595","41888852","685231","4893491","8","56","59","csrHybrid64-8block"
"web-BerkStan","685230","7600595","37588092","685231","4355896","16","48","52","csrHybrid64-16block"
"web-BerkStan","685230","7600595","33190460","685231","3806192","32","32","37","csrHybrid64-32block"
"web-Google","916428","5105039","24085872","916429","5105039","0","0","0","csrRegular32"
"web-Google","916428","5105039","48171744","916429","5105039","0","0","0","csrRegular64"
"web-Google","916428","5105039","24083308","916429","5104398","4","28","30","csrHybrid32-4block"
"web-Google","916428","5105039","24081372","916429","5103914","8","24","27","csrHybrid32-8block"
"web-Google","916428","5105039","24080164","916429","5103612","16","16","20","csrHybrid32-16block"
"web-Google","916428","5105039","44500900","916429","5104398","4","60","62","csrHybrid64-4block"
"web-Google","916428","5105039","44497028","916429","5103914","8","56","59","csrHybrid64-8block"
"web-Google","916428","5105039","44494612","916429","5103612","16","48","52","csrHybrid64-16block"
"web-Google","916428","5105039","44489100","916429","5102923","32","32","37","csrHybrid64-32block"
"web-NotreDame","325729","1497134","7291456","325730","1497134","0","0","0","csrRegular32"
"web-NotreDame","325729","1497134","14582912","325730","1497134","0","0","0","csrRegular64"
"web-NotreDame","325729","1497134","4453116","325730","787549","4","28","30","csrHybrid32-4block"
"web-NotreDame","325729","1497134","3898052","325730","648783","8","24","27","csrHybrid32-8block"
"web-NotreDame","325729","1497134","3565896","325730","565744","16","16","20","csrHybrid32-16block"
"web-NotreDame","325729","1497134","7603312","325730","787549","4","60","62","csrHybrid64-4block"
"web-NotreDame","325729","1497134","6493184","325730","648783","8","56","59","csrHybrid64-8block"
"web-NotreDame","325729","1497134","5828872","325730","565744","16","48","52","csrHybrid64-16block"
"web-NotreDame","325729","1497134","5406840","325730","512990","32","32","37","csrHybrid64-32block"
"soc-Slashdot0811","77360","905468","3931316","77361","905468","0","0","0","csrRegular32"
"soc-Slashdot0811","77360","905468","7862632","77361","905468","0","0","0","csrRegular64"
"soc-Slashdot0811","77360","905468","3693712","77361","846067","4","28","30","csrHybrid32-4block"
"soc-Slashdot0811","77360","905468","3609820","77361","825094","8","24","27","csrHybrid32-8block"
"soc-Slashdot0811","77360","905468","3515208","77361","801441","16","16","20","csrHybrid32-16block"
"soc-Slashdot0811","77360","905468","7077980","77361","846067","4","60","62","csrHybrid64-4block"
"soc-Slashdot0811","77360","905468","6910196","77361","825094","8","56","59","csrHybrid64-8block"
"soc-Slashdot0811","77360","905468","6720972","77361","801441","16","48","52","csrHybrid64-16block"
"soc-Slashdot0811","77360","905468","6464964","77361","769440","32","32","37","csrHybrid64-32block"
"soc-Slashdot0902","82168","948464","4122532","82169","948464","0","0","0","csrRegular32"
"soc-Slashdot0902","82168","948464","8245064","82169","948464","0","0","0","csrRegular64"
"soc-Slashdot0902","82168","948464","3867060","82169","884596","4","28","30","csrHybrid32-4block"
"soc-Slashdot0902","82168","948464","3777444","82169","862192","8","24","27","csrHybrid32-8block"
"soc-Slashdot0902","82168","948464","3675732","82169","836764","16","16","20","csrHybrid32-16block"
"soc-Slashdot0902","82168","948464","7405444","82169","884596","4","60","62","csrHybrid64-4block"
"soc-Slashdot0902","82168","948464","7226212","82169","862192","8","56","59","csrHybrid64-8block"
"soc-Slashdot0902","82168","948464","7022788","82169","836764","16","48","52","csrHybrid64-16block"
"soc-Slashdot0902","82168","948464","6760668","82169","803999","32","32","37","csrHybrid64-32block"
"soc-Epinions1","75888","508837","2338904","75889","508837","0","0","0","csrRegular32"
"soc-Epinions1","75888","508837","4677808","75889","508837","0","0","0","csrRegular64"
"soc-Epinions1","75888","508837","2152200","75889","462161","4","28","30","csrHybrid32-4block"
"soc-Epinions1","75888","508837","2054760","75889","437801","8","24","27","csrHybrid32-8block"
"soc-Epinions1","75888","508837","1946000","75889","410611","16","16","20","csrHybrid32-16block"
"soc-Epinions1","75888","508837","4000844","75889","462161","4","60","62","csrHybrid64-4block"
"soc-Epinions1","75888","508837","3805964","75889","437801","8","56","59","csrHybrid64-8block"
"soc-Epinions1","75888","508837","3588444","75889","410611","16","48","52","csrHybrid64-16block"
"soc-Epinions1","75888","508837","3359980","75889","382053","32","32","37","csrHybrid64-32block"
"coAuthorsDBLP","299067","1955352","9017680","299068","1955352","0","0","0","csrRegular32"
"coAuthorsDBLP","299067","1955352","18035360","299068","1955352","0","0","0","csrRegular64"
"coAuthorsDBLP","299067","1955352","7039956","299068","1460921","4","28","30","csrHybrid32-4block"
"coAuthorsDBLP","299067","1955352","6480408","299068","1321034","8","24","27","csrHybrid32-8block"
"coAuthorsDBLP","299067","1955352","6130008","299068","1233434","16","16","20","csrHybrid32-16block"
"coAuthorsDBLP","299067","1955352","12883640","299068","1460921","4","60","62","csrHybrid64-4block"
"coAuthorsDBLP","299067","1955352","11764544","299068","1321034","8","56","59","csrHybrid64-8block"
"coAuthorsDBLP","299067","1955352","11063744","299068","1233434","16","48","52","csrHybrid64-16block"
"coAuthorsDBLP","299067","1955352","10671080","299068","1184351","32","32","37","csrHybrid64-32block"
"coAuthorsCiteseer","227320","1628268","7422356","227321","1628268","0","0","0","csrRegular32"
"coAuthorsCiteseer","227320","1628268","14844712","227321","1628268","0","0","0","csrRegular64"
"coAuthorsCiteseer","227320","1628268","5183576","227321","1068573","4","28","30","csrHybrid32-4block"
"coAuthorsCiteseer","227320","1628268","4600820","227321","922884","8","24","27","csrHybrid32-8block"
"coAuthorsCiteseer","227320","1628268","4263464","227321","838545","16","16","20","csrHybrid32-16block"
"coAuthorsCiteseer","227320","1628268","9457868","227321","1068573","4","60","62","csrHybrid64-4block"
"coAuthorsCiteseer","227320","1628268","8292356","227321","922884","8","56","59","csrHybrid64-8block"
"coAuthorsCiteseer","227320","1628268","7617644","227321","838545","16","48","52","csrHybrid64-16block"
"coAuthorsCiteseer","227320","1628268","7240580","227321","791412","32","32","37","csrHybrid64-32block"
"soc-LiveJournal1","4847571","68993773","295365380","4847572","68993773","0","0","0","csrRegular32"
"soc-LiveJournal1","4847571","68993773","590730760","4847572","68993773","0","0","0","csrRegular64"
"soc-LiveJournal1","4847571","68993773","259873684","4847572","60120849","4","28","30","csrHybrid32-4block"
"soc-LiveJournal1","4847571","68993773","246424504","4847572","56758554","8","24","27","csrHybrid32-8block"
"soc-LiveJournal1","4847571","68993773","4","1","0","16","16","20","csrHybrid32-16block"
"soc-LiveJournal1","4847571","68993773","500357080","4847572","60120849","4","60","62","csrHybrid64-4block"
"soc-LiveJournal1","4847571","68993773","473458720","4847572","56758554","8","56","59","csrHybrid64-8block"
"soc-LiveJournal1","4847571","68993773","450554736","4847572","53895556","16","48","52","csrHybrid64-16block"
"soc-LiveJournal1","4847571","68993773","431781256","4847572","51548871","32","32","37","csrHybrid64-32block"
"coPapersCiteseer","434102","32073440","130030172","434103","32073440","0","0","0","csrRegular32"
"coPapersCiteseer","434102","32073440","260060344","434103","32073440","0","0","0","csrRegular64"
"coPapersCiteseer","434102","32073440","55669560","434103","13483287","4","28","30","csrHybrid32-4block"
"coPapersCiteseer","434102","32073440","37710436","434103","8993506","8","24","27","csrHybrid32-8block"
"coPapersCiteseer","434102","32073440","26566604","434103","6207548","16","16","20","csrHybrid32-16block"
"coPapersCiteseer","434102","32073440","109602708","434103","13483287","4","60","62","csrHybrid64-4block"
"coPapersCiteseer","434102","32073440","73684460","434103","8993506","8","56","59","csrHybrid64-8block"
"coPapersCiteseer","434102","32073440","51396796","434103","6207548","16","48","52","csrHybrid64-16block"
"coPapersCiteseer","434102","32073440","37593052","434103","4482080","32","32","37","csrHybrid64-32block"
"coPapersDBLP","540486","30491458","124127780","540487","30491458","0","0","0","csrRegular32"
"coPapersDBLP","540486","30491458","248255560","540487","30491458","0","0","0","csrRegular64"
"coPapersDBLP","540486","30491458","60505588","540487","14585910","4","28","30","csrHybrid32-4block"
"coPapersDBLP","540486","30491458","44309652","540487","10536926","8","24","27","csrHybrid32-8block"
"coPapersDBLP","540486","30491458","33957536","540487","7948897","16","16","20","csrHybrid32-16block"
"coPapersDBLP","540486","30491458","118849228","540487","14585910","4","60","62","csrHybrid64-4block"
"coPapersDBLP","540486","30491458","86457356","540487","10536926","8","56","59","csrHybrid64-8block"
"coPapersDBLP","540486","30491458","65753124","540487","7948897","16","48","52","csrHybrid64-16block"
"coPapersDBLP","540486","30491458","52318660","540487","6269589","32","32","37","csrHybrid64-32block"
"indochina-2004","7414866","194109311","806096712","7414867","194109311","0","0","0","csrRegular32"
"indochina-2004","7414866","194109311","1612193424","7414867","194109311","0","0","0","csrRegular64"
"indochina-2004","7414866","194109311","308575068","7414867","69728900","4","28","30","csrHybrid32-4block"
"indochina-2004","7414866","194109311","215743112","7414867","46520911","8","24","27","csrHybrid32-8block"
"indochina-2004","7414866","194109311","4","1","0","16","16","20","csrHybrid32-16block"
"indochina-2004","7414866","194109311","587490668","7414867","69728900","4","60","62","csrHybrid64-4block"
"indochina-2004","7414866","194109311","401826756","7414867","46520911","8","56","59","csrHybrid64-8block"
"indochina-2004","7414866","194109311","301548740","7414867","33986159","16","48","52","csrHybrid64-16block"
"indochina-2004","7414866","194109311","245751420","7414867","27011494","32","32","37","csrHybrid64-32block"
"italy_osm","6686493","14027956","82857800","6686494","14027956","0","0","0","csrRegular32"
"italy_osm","6686493","14027956","165715600","6686494","14027956","0","0","0","csrRegular64"
"italy_osm","6686493","14027956","71335908","6686494","11147483","4","28","30","csrHybrid32-4block"
"italy_osm","6686493","14027956","65529768","6686494","9695948","8","24","27","csrHybrid32-8block"
"italy_osm","6686493","14027956","4","1","0","16","16","20","csrHybrid32-16block"
"italy_osm","6686493","14027956","115925840","6686494","11147483","4","60","62","csrHybrid64-4block"
"italy_osm","6686493","14027956","104313560","6686494","9695948","8","56","59","csrHybrid64-8block"
"italy_osm","6686493","14027956","98059912","6686494","8914242","16","48","52","csrHybrid64-16block"
"italy_osm","6686493","14027956","94485000","6686494","8467378","32","32","37","csrHybrid64-32block"
"great-britain_osm","7733822","16313034","96187428","7733823","16313034","0","0","0","csrRegular32"
"great-britain_osm","7733822","16313034","192374856","7733823","16313034","0","0","0","csrRegular64"
"great-britain_osm","7733822","16313034","84615244","7733823","13419988","4","28","30","csrHybrid32-4block"
"great-britain_osm","7733822","16313034","78697504","7733823","11940553","8","24","27","csrHybrid32-8block"
"great-britain_osm","7733822","16313034","4","1","0","16","16","20","csrHybrid32-16block"
"great-britain_osm","7733822","16313034","138295196","7733823","13419988","4","60","62","csrHybrid64-4block"
"great-britain_osm","7733822","16313034","126459716","7733823","11940553","8","56","59","csrHybrid64-8block"
"great-britain_osm","7733822","16313034","119628100","7733823","11086601","16","48","52","csrHybrid64-16block"
"great-britain_osm","7733822","16313034","115350884","7733823","10551949","32","32","37","csrHybrid64-32block"
"germany_osm","11548845","24738362","145148832","11548846","24738362","0","0","0","csrRegular32"
"germany_osm","11548845","24738362","290297664","11548846","24738362","0","0","0","csrRegular64"
"germany_osm","11548845","24738362","127947988","11548846","20438151","4","28","30","csrHybrid32-4block"
"germany_osm","11548845","24738362","119124240","11548846","18232214","8","24","27","csrHybrid32-8block"
"germany_osm","11548845","24738362","4","1","0","16","16","20","csrHybrid32-16block"
"germany_osm","11548845","24738362","209700592","11548846","20438151","4","60","62","csrHybrid64-4block"
"germany_osm","11548845","24738362","192053096","11548846","18232214","8","56","59","csrHybrid64-8block"
"germany_osm","11548845","24738362","182091520","11548846","16987017","16","48","52","csrHybrid64-16block"
"germany_osm","11548845","24738362","176171304","11548846","16246990","32","32","37","csrHybrid64-32block"
"asia_osm","11950757","25423206","149495856","11950758","25423206","0","0","0","csrRegular32"
"asia_osm","11950757","25423206","298991712","11950758","25423206","0","0","0","csrRegular64"
"asia_osm","11950757","25423206","129113856","11950758","20327706","4","28","30","csrHybrid32-4block"
"asia_osm","11950757","25423206","118836148","11950758","17758279","8","24","27","csrHybrid32-8block"
"asia_osm","11950757","25423206","4","1","0","16","16","20","csrHybrid32-16block"
"asia_osm","11950757","25423206","210424680","11950758","20327706","4","60","62","csrHybrid64-4block"
"asia_osm","11950757","25423206","189869264","11950758","17758279","8","56","59","csrHybrid64-8block"
"asia_osm","11950757","25423206","178640648","11950758","16354702","16","48","52","csrHybrid64-16block"
"asia_osm","11950757","25423206","171998816","11950758","15524473","32","32","37","csrHybrid64-32block"
